product_id,url,category,ref
602144bf360e2c9356a22955,http://azimut.ski/fr/trips/stage-d-initiation-face-au-dome-des-ecrins-m---alpinisme,AL,FRAL03
60243fa0360e2c9356dfd885,http://azimut.ski/fr/trips/chamonix---zermatt,AL,CHAL12  ALP008
60c0cf9ce2f187b2f38e6aa6,http://azimut.ski/fr/trips/damien---objectif-les-domes-de-miage---alpinisme,AL,FRALPRIV23
602442c9360e2c9356e739a0,http://azimut.ski/fr/trips/stage-d-initiation-au-coeur-des-glaciers-du-parc-national-de-la-vanoise---alpinisme,AL,FRAL10
60bb7012e2f187b2f3fe8b8a,http://azimut.ski/en/trips/objectif--the-domes-de-miage,AL,FRAL23  ALP060
60ef6252e2f187b2f30b0404,http://azimut.ski/en/trips/glaciers-of-maurienne-albaron---mountaineering,AL,FRAL10
6099019b89fe135ad82c3138,http://azimut.ski/fr/trips/gijs--les--du-mont-rose---alpinisme,AL,ITALPRIV11
60f294d9e2f187b2f3aa5b14,http://azimut.ski/en/trips/monte-rosa-and-its--m-summits---mountaineering,AL,ITALPRIV11
60bc8b36e2f187b2f391f371,http://azimut.ski/en/trips/glacier-walk-ecrins-france,AL,FRAL02
60f2c60ce2f187b2f3f06dcf,http://azimut.ski/en/trips/haute-maurienne-albaron-alpinisme,AL,FRAL04
6022dbf9360e2c9356613d5e,http://azimut.ski/fr/trips/sejour-all-mountain-brianconnais,BA,FRBAM01
60676a2889fe135ad841c150,http://azimut.ski/fr/trips/vtt-electrique-douceurs-du-brianconnais,BE,FRBEL03
602496c7360e2c9356c0afc8,http://azimut.ski/fr/trips/vtt-electrique-enduro---week-end---spots-secrets-du-queyras,BE,FRBEN02
6021533f360e2c9356159e91,http://azimut.ski/fr/trips/vtt-raid---queyras-val-maira,BR,ITBRA01
60ad10c489fe135ad85efe2d,http://azimut.ski/en/trips/enduro---bike-shuttle---made-in-hautes-alpes,BS,FRBS01
6046552d360e2c935619d6a9,http://azimut.ski/fr/trips/les-spots-du-brianonnais-a-la-journee,BS,FRBS02
603fb6b1360e2c9356216f99,http://azimut.ski/fr/trips/bike---journees-shuttle---enduro-made-in-hautes-alpes,BS,FRBS01
60a3704289fe135ad8bddfc5,http://azimut.ski/fr/trips/acomptes-ffcam-resas-persos-mt-blanc-guides,CP,ACCPERSO
6027b01c360e2c9356418075,http://azimut.ski/fr/trips/mont-blanc-normale,EA,FREA18
60214eb7360e2c9356fbbed4,http://azimut.ski/fr/trips/formation-scurit-neige-et-avalanches,F0,FRF01
61099991e2f187b2f3045b61,http://azimut.ski/en/trips/formation-scurit-neige-et-avalanches,F0,FRF01
611fc689e2f187b2f358362e,http://azimut.ski/en/trips/gravel-bike---cycling-trip-in-kirghizstan,GB,KIGB01
6022235d360e2c9356a8a659,http://azimut.ski/fr/trips/gravel-bike---voyage-au-pakistan,GB,PAGB01
6021795b360e2c9356b7bb64,http://azimut.ski/fr/trips/traversee-des-alpes---gravel-bike-velo-de-route,GB,FRGB01
6021797d360e2c9356b99e33,http://azimut.ski/fr/trips/maroc---voyage-sur-l-atlas---gravel-bike-velo-de-route,GB,MAGB01
60217a9b360e2c9356c5d9d6,http://azimut.ski/fr/trips/gravel-bike---voyage-au-kirghizstan,GB,KIGB01
60217b45360e2c9356cd4554,http://azimut.ski/fr/trips/bolivie---gravel-bike-velo-de-route,GB,BOGB01
6028e2b3360e2c9356ce5ce7,http://azimut.ski/fr/trips/maroc---entre-grand-sud-et-desert---gravel-bike-velo-de-route,GB,MAGB02
60ae77f289fe135ad81c5afe,http://azimut.ski/en/trips/crossing-the-alps---gravel-bike-cycling-road,GB,FRGB01
60ec8357e2f187b2f322faa5,http://azimut.ski/en/trips/morocco---trip-in-the-atlas-mountain---gravel-bike-cycling-trip,GB,MAGB01
60b4ef9f89fe135ad8b2169d,http://azimut.ski/en/trips/gravel-bike---cycling-trip-in-pakistan,GB,PAGB01
60bba735e2f187b2f3b46f71,http://azimut.ski/en/trips/morocco---between-south-and-desert---gravel-bike-cycling-trip,GB,MAGB02
608fe6c989fe135ad8237270,http://azimut.ski/fr/trips/vtt-electrique---liberte---week-end-decouverte-dans-la-vallee-des-fonts,LI,FRLIB01
6139c7083901fe6ce28ebb5c,http://azimut.ski/en/trips/e-mountain-biking---freedom---a-discover-week-end-into-the-fonts-valley,LI,FRLIB01
609e9a8089fe135ad876fbbe,http://azimut.ski/fr/trips/vtt--e-bike---liberte---week-end-de-pur-ride-autour-de-cervieres,LI,FRLIB02
619f3d5b8583af6aab97c523,http://azimut.ski/fr/trips/archiride---skitrip-freeride-freerando-japon,PS,JAPSFPRIV01
